# file...... capacitor1_output.csv
# date...... Wed Oct 20 13:52:03 2010
# user...... D3P313
# host...... (null)
# target.... capacitor 56
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,switchA,switchB,switchC
2000-01-01 00:36:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:37:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:38:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:39:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:40:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:41:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:42:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:43:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:44:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:45:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:46:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:47:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:48:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:49:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:50:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:51:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:52:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:53:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:54:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:55:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:56:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:57:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:58:00 PST,OPEN,OPEN,OPEN
2000-01-01 00:59:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:00:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:01:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:02:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:03:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:04:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:05:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:06:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:07:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:08:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:09:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:10:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:11:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:12:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:13:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:14:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:15:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:16:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:17:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:18:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:19:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:20:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:21:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:22:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:23:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:24:00 PST,OPEN,OPEN,OPEN
2000-01-01 01:25:00 PST,CLOSED,CLOSED,CLOSED
2000-01-01 01:26:00 PST,CLOSED,CLOSED,CLOSED
